tconst,titleType,originalTitle,isAdult,startYear,genres,averageRating,numVotes,description
tt0109480,movie,Cops and Robbersons,0,1994,"Comedy,Crime,Thriller",5.2,7365,visions memories mysticism help something woman find strength
tt7304824,movie,Ofrenda a la tormenta,0,2020,"Crime,Thriller",6.2,7364,battle could worse two cavalry officers native tribes
tt10648440,movie,Eksiteu,0,2019,"Action,Comedy",7.0,7363,early th century two rivals heroic leslie despicable
tt3089326,movie,Magical Girl,0,2014,"Drama,Thriller",7.2,7361,somewhat different take custers motivation changed defender nativeamerican
tt0796307,movie,La misma luna,0,2007,"Adventure,Drama",7.3,7360,allstar large scale epic movie chronicles life ministry
tt5091530,movie,M.F.A.,0,2017,"Drama,Horror,Thriller",5.9,7359,miners way denver cargo whiskey destined sought temperance
tt0376076,movie,Pithamagan,0,2003,"Action,Drama",8.3,7358,screen adaption blistering bestseller examines story platinum blonde
tt0085159,movie,Amityville 3-D,0,1983,Horror,4.2,7352,american singer johnny tyrone enlisted sinister forces assassinate
tt0263776,movie,Namuslu,0,1984,"Comedy,Drama",8.1,7350,dinah model whose face appears ad campaign meat
tt0113089,movie,Fluke,0,1995,"Drama,Family,Fantasy",6.6,7348,sir
tt0487503,movie,La tourneuse de pages,0,2006,"Drama,Music,Thriller",7.0,7346,norwegian resistance tries stop german efforts produce atomic
tt0090192,movie,Trancers,0,1984,"Action,Sci-Fi",6.0,7345,jamaican colonial family sends children britain proper schooling
tt1075113,movie,Ne te retourne pas,0,2009,"Drama,Horror,Mystery",5.8,7345,north african military prison world war ii five
tt0480011,movie,Straightheads,0,2007,"Crime,Drama,Horror",5.5,7338,dee bwana frankie navalreserve duty tahiti doesnt trust
tt1064931,movie,Beyaz Melek,0,2007,Drama,6.5,7334,calls teenagers libby kit innocently spend evening making
tt2153963,movie,Tabu,0,2012,"Drama,Romance",7.3,7332,executive unhappy daughter choice future husband accepts transfer
tt0096149,movie,Space Mutiny,0,1988,"Action,Adventure,Romance",2.0,7331,legendary samurai sasuke sarutobi gets caught web political
tt0472582,movie,2:37,0,2006,Drama,6.8,7331,kara bennemsi friends rescuees set free young relative
tt2523832,movie,A Girl Like Her,0,2015,Drama,7.0,7331,naval officer reprimanded pearl harbor later promoted rear
tt5983262,movie,Tikli and Laxmi Bomb,0,2017,Drama,7.0,7330,tomboy turned movie star deals cruelty hollywood
tt1181840,movie,Jack et la mécanique du coeur,0,2013,"Adventure,Animation,Drama",6.9,7327,chance meeting schlecht agent forces humble coffee shop
tt8522820,movie,Sorkhpoost,0,2019,"Drama,History,Mystery",7.3,7321,gang sets kill rival mobster hit man forced
tt0092117,movie,True Stories,0,1986,"Comedy,Musical",7.2,7318,cold war john goldfarb richard crenna crashes spy
tt2481198,movie,Sunshine on Leith,0,2013,"Comedy,Drama,Musical",6.6,7317,carl brown marries annie mcgairy goes college taking
tt3302706,movie,Boychoir,0,2014,"Drama,Music",6.7,7316,young japan housing complex introverted student observes neighbors
tt1667354,movie,The Painted Bird,0,2019,"Drama,Horror,Thriller",7.3,7313,use aliens planet x request godzilla rodan fight
tt8000718,movie,The Operative,0,2019,"Action,Drama,Mystery",5.8,7311,rabbit made encourage discussion democratization east german society
tt0084749,movie,The Sword and the Sorcerer,0,1982,"Action,Adventure,Fantasy",5.5,7310,chance meeting rekindles old memories screenwriter exgirlfriend married
tt1352369,movie,Gurotesuku,0,2009,"Horror,Thriller",4.7,7305,camp fasttalking wheelerdealer corporal king stuck malaysian pow
tt0065854,movie,The House That Dripped Blood,0,1971,"Drama,Fantasy,Horror",6.5,7304,cool sophisticated tolen ray brooks monopoly womanizing long
tt0077921,movie,The Medusa Touch,0,1978,"Drama,Mystery",6.9,7300,film director problems coping wife marriage daughter connecting
tt3655414,movie,Cien años de perdón,0,2016,"Adventure,Crime,Drama",6.2,7299,family struggle hungarian revolution habsburg empire
tt0108656,movie,Jung on zo,0,1993,"Action,Crime,Drama",6.7,7297,sequel
tt3404140,movie,Byeon-ho-in,0,2013,Drama,7.7,7296,colonel mostyn british intelligence service suspects leak department
tt1499201,movie,Anjaana Anjaani,0,2010,"Comedy,Drama,Musical",5.7,7293,discredited coward th century seaman peter otoole lives
tt1206488,movie,La teta asustada,0,2009,"Drama,Music",6.7,7293,jordan acapulco rich playgirl kit nee katherine lawson
tt0091554,movie,The Morning After,0,1986,"Crime,Mystery,Romance",5.9,7293,satire funeral business young british poet goes work
tt1783423,movie,Çakallarla Dans,0,2010,Comedy,5.6,7291,devout hindu family falls victim charlatan posing holy
tt0142201,movie,Crazy in Alabama,0,1999,"Comedy,Crime,Drama",6.2,7286,apache union due frequent raids mexico us officer
tt5613834,movie,A Gentleman,0,2017,"Action,Comedy",6.2,7282,young marco polo travels china help kublai khan
tt1951216,movie,The Look of Love,0,2013,"Biography,Comedy,Drama",6.0,7280,businessmans neglected wife divorces husband mistake marries best
tt1386683,movie,En ganske snill mann,0,2010,"Comedy,Crime,Drama",6.9,7279,british send american war hero kidnap hide oilcountry
tt1003034,movie,Perrier's Bounty,0,2009,"Action,Comedy,Crime",6.3,7274,mob tries kill unknown reason comedian steals identity
tt0065955,movie,En kärlekshistoria,0,1970,"Drama,Romance",7.3,7272,accountant suddenly suffers amnesia appears related suicide boss
tt3108244,movie,Capsule,0,2015,"Drama,History,Sci-Fi",5.4,7272,amnesiac james garner wanders streets manhattan trying solve
